4622,2001.0
4623,2002.0
4624,2003.0
4625,2004.0
4626,2005.0
4627,2006.0
4628,2007.0
4629,2008.0
4630,2009.0
4631,2010.0
4632,2011.0
4633,2012.0
4634,2013.0
4635,2014.0
4636,2015.0
4637,2016.0
4638,2017.0
4639,2018.0
9375,2019.0
9376,2020.0
9377,2021.0
9378,2022.0
9379,2023.0
9380,2024.0
9381,2025.0
4622,0.0
4623,1.03
4624,0.26
4625,0.21
4626,0.05
4627,-0.05
4628,-0.02
4629,-0.21
4630,-0.08
4631,-0.18
4632,0.07
4633,0.08
4634,0.03
4635,-0.03
4636,-0.06
4637,-0.07
4638,-0.04
4639,0.11
9375,0.11
9376,0.0
9377,0.0
9378,0.01
9379,0.01
9380,0.0
9381,0.01
0,
1,0.3671409165026214
2,0.4567107732265743
3,0.31114500250144905
4,0.08603834161182689
5,0.08832294666232277
6,0.038277590213406265
7,-0.21076824984607878
8,0.00792254819694782
9,0.05809888105157213
10,-0.005955960069030541
11,-0.037015603654249274
12,-0.03668318771520784
13,0.017965767892972995
14,-0.01799454442858217
15,-0.024207293876106317
16,0.03803896524462269
17,0.1077486819746416
18,-0.5645193467259599
19,0.0001792508675775295
20,0.0015668049105463933
21,0.002791262022123764
22,0.003119135851876731
23,0.005687028399844696
24,0.005864208242493785
